10000   0.000001    0.000001
20000   0.000001    0.000001
30000   0.000001    0.000001
40000   0.000000    0.000001
50000   0.000001    0.000000
60000   0.000000    0.000001
70000   0.000001    0.000001
80000   0.000001    0.000000
90000   0.000000    0.000001
100000  0.000001    0.000002
110000  0.000001    0.000001
120000  0.000001    0.000001
130000  0.000001    0.000002
140000  0.000001    0.000002
150000  0.000001    0.000001
160000  0.000000    0.000001
170000  0.000001    0.000001
180000  0.000001    0.000000
190000  0.000000    0.000002
200000  0.000001    0.000002
